股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
5234,達興材料,266.79,233.01,85.63,3.97,91.93,7.92,46.08,2.70,0.93,11.57,17.2,58.94,12.27,5.1
5243,乙盛-KY,172.47,126.53,11.35,4.92,74.18,5.79,63.03,2.69,0.97,5.58,8.38,53.81,5.17,3.55
5244,弘凱,457.47,428.78,"11,798.31",2.61,139.84,9.43,38.70,1.90,0.45,8.48,9.95,28.56,18.46,2.4
5258,虹堡,211.97,143.46,"4,698.00",3.84,95.05,2.34,155.98,20.42,1.20,14.24,27.47,116.69,11.57,8.65
5269,祥碩,225.04,191.84,415.64,6.74,54.15,3.34,109.28,11.98,0.32,11.32,12.77,370.32,34.81,32.19
5283,禾聯碩,164.89,88.18,64.44,5.84,62.50,2.78,131.29,4.36,1.00,9.35,13.53,83.35,9.17,7.78
5284,jpp-KY,134.46,103.63,12.72,2.10,173.80,3.21,113.70,1.31,0.55,10.59,17.92,93.69,17.73,8.33
5285,界霖,363.61,220.08,9.03,5.24,69.65,2.92,125.00,3.41,0.96,3.85,5.97,27.03,3.48,1.75
5288,豐祥-KY,250.55,188.46,20.11,5.24,69.65,5.51,66.24,3.52,1.00,14.99,21.84,188.81,14.19,15.6
5292,華懋,182.87,167.64,"3,511.69",5.38,67.84,3.03,120.46,5.71,0.83,12.12,25.63,112.99,14.60,9.75
5306,桂盟,249.65,198.21,"2,515.16",5.10,71.56,2.32,157.32,1.35,0.39,6.33,9.78,80.87,15.68,5.89
5388,中磊,142.07,78.12,"1,240.00",5.61,65.06,3.04,120.06,12.16,1.36,5.65,20.76,111.25,3.82,9.17
5434,崇越,161.16,128.30,39.97,5.80,62.93,7.52,48.53,10.40,1.30,9.53,19.94,205.64,7.11,15.36
5469,瀚宇博,174.76,144.24,17.79,3.29,110.94,4.21,86.69,3.69,0.55,6.31,10.74,132.44,10.55,5.07
5471,松翰,685.09,488.96,0.00,9.34,39.07,1.44,253.47,3.75,0.63,4.48,5.18,11.98,7.12,1.11
5484,慧友,175.35,127.90,-4.68,4.98,73.29,2.15,169.76,5.17,0.41,-4.97,-7.97,-4.67,-13.25,-0.73
5515,建國,256.86,251.51,49.54,20.81,17.53,無,無,38.19,0.53,4.35,7.06,15.69,8.09,1.34
5519,隆大,405.40,67.18,842.01,27.26,13.38,0.08,"4,562.50",75.93,0.34,7.21,15.43,44.52,18.52,3.69
5521,工信,243.87,227.78,5.27,20.37,17.91,11.59,31.49,11.08,0.61,1.00,1.26,1.43,1.26,0.14
5522,遠雄,172.24,17.71,499.75,74.08,4.92,0.22,"1,659.09",193.37,0.22,3.86,8.17,61.19,17.01,4.76
5525,順天,134.09,3.15,"4,937.30",35.07,10.40,0.29,"1,258.62",17.02,0.30,4.15,13.6,30.78,13.54,2.5
5531,鄉林,119.45,14.06,0.48,202.18,1.80,0.15,"2,433.33",0.37,0.09,0.62,-3.59,-4.27,-10.22,-0.2
5533,皇鼎,647.03,313.64,288.14,117.69,3.10,0.57,640.35,0.85,0.30,7.27,9.52,36.75,23.63,3.12
5534,長虹,177.60,14.07,6.20,36.65,9.95,0.16,"2,281.25",121.10,0.21,4.02,9.18,81.06,18.74,6.32
5538,東明-KY,268.56,125.46,1.57,5.31,68.73,2.34,155.98,5.14,1.01,2.29,2.01,5.66,1.05,0.67
5546,永固-KY,111.46,104.16,-7.81,1.61,226.70,62.82,5.81,8.66,0.56,-5.15,-14.85,-57.86,-10.29,-4.58
5607,遠雄港,47.70,46.65,4.44,12.37,29.50,無,無,0.98,0.12,4.56,9.93,22.76,30.68,2.91
5608,四維航,79.50,72.87,0.20,88.69,4.11,21.00,17.38,0.20,0.15,-0.35,-5.75,-12.68,-16.52,-1.26
5706,鳳凰,133.89,118.88,16.99,30.29,12.05,無,無,2.23,0.75,6.45,13.31,29.17,8.09,2.44
5871,中租-KY,117.42,115.90,2.87,無,無,無,無,1.23,0.11,4.99,16.62,205.22,26.71,15.15
5876,上海商銀,無,無,無,無,無,無,無,2.20,0.02,0.73,7.43,43.67,35.34,3.02
5880,合庫金,無,無,無,無,無,無,無,無,無,0.39,7.66,15.01,29.13,1.17
5906,台南-KY,114.38,51.74,11.27,6.95,52.51,2.11,172.98,24.49,1.25,6.93,17.9,42.28,5.01,3.21
5907,大洋-KY,34.65,27.97,-1.70,17.13,21.30,3.38,107.98,0.66,0.15,-6.32,-33.81,-95.21,-54.55,-10.66
6005,群益證,108.19,108.11,無,無,無,無,無,無,無,2.37,10.87,20.28,38.96,1.9
6024,群益期,114.00,114.00,無,無,無,無,無,無,無,2.15,14.48,60.62,50.43,4.8
6108,競國,135.92,123.86,1.65,3.45,105.79,8.35,43.71,2.93,0.67,1.56,1.51,4.96,0.91,0.34
6112,邁達特,144.27,65.14,11.66,6.23,58.58,3.90,93.58,21.14,1.70,5.42,10.59,37.59,2.92,3.14
6115,鎰勝,257.86,250.86,21.99,3.27,111.62,10.42,35.02,5.62,0.74,6.39,9.98,41.36,8.21,2.82
6116,彩晶,163.59,134.48,"-7,386.29",7.82,46.67,9.72,37.55,0.66,0.23,-8.50,-10.46,-15.99,-37.82,-1.63
6120,達運,195.89,173.46,0.61,5.49,66.48,14.69,24.84,3.35,0.98,0.88,1.24,-0.33,0.65,0.17
6128,上福,107.05,76.27,10.85,6.37,57.29,2.64,138.25,2.88,0.66,5.95,10.66,42.58,8.15,3.4
6133,金橋,121.12,91.28,223.51,2.97,122.89,2.83,128.97,2.46,0.50,1.08,0.95,1.40,1.10,0.09
6136,富爾特,"1,043.75",907.64,"52,280.85",4.90,74.48,5.34,68.35,4.95,0.15,2.99,3.08,8.99,20.51,0.9
6139,亞翔,131.08,87.89,66.96,5.93,61.55,5.46,66.84,69.28,1.10,6.96,24.97,201.17,6.23,12.81
6141,柏承,59.81,48.00,-5.68,2.25,162.22,6.57,55.55,0.58,0.36,-5.59,-21.24,-49.77,-17.99,-3.76
6142,友勁,490.53,369.08,-0.15,3.84,95.05,2.60,140.38,1.87,0.51,-0.49,-1.16,-0.56,-1.46,-0.11
